Distrito;População Total;0–14 anos;15–59 anos;60+ anos;Imóveis Residenciais;Imóveis Comerciais;Pop Projetada 2030;Pop Projetada 2035;Pop Projetada 2040;Pop Projetada 2045;Pop Projetada 2050;Comércio;Construção;Industria;Serviços
Barra Funda;33.436;5.000;24.000;4.400;10.200;2.300;18.053;18.615;18.852;18.849;18.664;563;108;0;1729
Bela Vista;67.000;6.000;48.000;13.000;22.500;4.800;73.037;71.687;69.871;67.920;65.425;1162;160;0;4908
Bom Retiro;29.000;4.500;19.000;5.500;8.700;2.100;41.714;42.775;43.640;44.404;44.747;1552;56;0;1068
Brás;32.000;5.000;22.000;5.000;9.800;2.400;34.958;35.595;36.186;36.702;36.893;3333;62;0;972
Casa Verde;78.000;13.000;54.000;11.000;24.000;3.000;85.100;84.254;83.331;82.428;80.949;1090;248;0;1303
Consolação;44.000;4.000;30.000;10.000;14.500;3.200;55.488;53.473;51.064;48.519;45.728;690;78;0;3007
Liberdade;41.000;5.500;29.000;6.500;13.000;2.800;73.059;72.038;70.600;68.955;66.704;490;73;0;1524
Pari;21.000;3.800;13.500;3.700;6.200;1.500;20.219;20.698;21.091;21.432;21.601;1254;22;0;370
Perdizes;102.000;15.000;70.000;17.000;32.000;4.000;112.635;109.561;105.631;101.378;96.418;1071;140;0;3056
República;28.000;3.000;20.000;5.000;8.500;2.200;62.186;61.356;60.147;58.755;56.765;1990;131;0;3553
Santa Cecília;35.000;4.500;24.000;6.500;11.000;2.600;88.143;86.557;84.347;81.920;78.805;1002;127;0;2305
Sé;20.000;2.500;14.000;3.500;6.000;1.800;28.214;28.733;29.200;29.576;29.626;3021;172;0;2888
